MaterialId,Reduced Formula,Elements,Crystal System,Space Group,Bandgap,Formation Energy Per Atom,Decomposition Energy Per Atom,microgravity_advantage_score,seed_score,density_ratio,mp_ratio,mp_compatible,target_sectors
c277359726,Tb2Hf10Zr6Ta2Si15Ge,"['Si', 'Ge', 'Zr', 'Tb', 'Hf', 'Ta']",triclinic,P1,,-0.8484,-0.0423,54.68,65,7.15,2.72,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
e5f8cf2e57,Ta9NbSiB4As,"['B', 'Si', 'As', 'Nb', 'Ta']",triclinic,P1,0.0041,-0.6538,-0.0448,54.71,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
e18566fce2,TaTi2Mo(PO4)6,"['O', 'P', 'Ti', 'Mo', 'Ta']",trigonal,R3,1.7008,-2.8784,-0.0012,54.77,65,9.15,10.38,False,"['battery', 'quantum', 'superalloy', 'defense']"
0ae56c63db,Hf3Re2SiTcGe2,"['Si', 'Ge', 'Tc', 'Hf', 'Re']",orthorhombic,Amm2,0.0125,-0.7272,-0.1764,54.78,65,9.02,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
218e5f7d3b,Hf3ReSi(TcGe)2,"['Si', 'Ge', 'Tc', 'Hf', 'Re']",orthorhombic,Amm2,,-0.7704,-0.2276,54.78,65,9.02,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
0440c341aa,Nd2NbSi2GeIr4,"['Si', 'Ge', 'Nb', 'Nd', 'Ir']",tetragonal,P-4m2,0.0036,-0.8957,-0.0126,54.79,65,9.68,2.27,True,"['semiconductor', 'quantum', 'optical', 'defense']"
b0cf63df97,Ti3Re3Si2As,"['Si', 'Ti', 'As', 'Re']",hexagonal,P-6,0.0142,-0.7069,-0.027,54.8,65,9.02,3.17,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
223ce088ac,Ti6Si5Ge(Rh2W)2,"['Si', 'Ti', 'Ge', 'Rh', 'W']",triclinic,P1,,-0.8357,-0.0347,54.81,65,8.26,3.05,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
292b8de5f4,Ti3Re3SiGe2,"['Si', 'Ti', 'Ge', 'Re']",hexagonal,P-62m,0.0068,-0.6196,-0.1034,54.84,65,9.02,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
60a3a6f9de,Ti3Re3Si2Ge,"['Si', 'Ti', 'Ge', 'Re']",hexagonal,P-6,0.0071,-0.6821,-0.0674,54.84,65,9.02,2.86,True,"['semiconductor', 'quantum', 'superalloy', 'optical']"
db43cbceda,Sc8Ta3Nb9(Si7Ge)2,"['Si', 'Sc', 'Ge', 'Nb', 'Ta']",triclinic,P1,0.0033,-0.7994,-0.0359,54.63,65,7.15,2.72,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
8a2f78bf89,Sc8Ta5Nb7Si15Ge,"['Si', 'Sc', 'Ge', 'Nb', 'Ta']",triclinic,P1,,-0.7965,-0.0532,54.63,65,7.15,2.72,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
c620837abe,Li4HgGe2S7,"['Li', 'S', 'Ge', 'Hg']",monoclinic,Cc,2.2591,-1.0508,-0.029,54.63,65,9.96,3.12,True,['battery']
4e20f0b447,Tm6Sc2Ta10Nb2Si15As,"['Si', 'Sc', 'As', 'Nb', 'Tm', 'Ta']",triclinic,P1,,-0.781,-0.052,54.63,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
f6ff1158ed,Ta3Si2GeW3,"['Si', 'Ge', 'Ta', 'W']",hexagonal,P-6,,-0.3575,-0.0289,58.14,65,8.26,3.05,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
1a26ee93a7,Na20Nb2AlGaP12,"['Na', 'Al', 'P', 'Ga', 'Nb']",triclinic,P1,1.2058,-0.4635,-0.0154,58.17,65,8.84,9.08,False,"['semiconductor', 'battery', 'quantum', 'superalloy', 'optical']"
4ec32b2a99,Si4SbAs3Pt4,"['Si', 'As', 'Sb', 'Pt']",monoclinic,Pc,0.2684,-0.5046,-0.0202,58.23,65,9.21,2.26,True,"['semiconductor', 'quantum', 'optical']"
b2b31db1a0,Hf18Re5SiMo3As,"['Si', 'As', 'Mo', 'Hf', 'Re']",monoclinic,Pm,0.0046,-0.343,-0.0049,58.3,65,9.02,3.17,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
e86ef575b6,Hf3Re2Si2MoAs,"['Si', 'As', 'Mo', 'Hf', 'Re']",monoclinic,Pm,0.0259,-0.7516,-0.0191,58.3,65,9.02,3.17,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
b61e4c899c,Ta5NbCo16Si6As,"['Si', 'Co', 'As', 'Nb', 'Ta']",tetragonal,I4mm,0.0014,-0.542,-0.0109,58.36,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
ef8154af86,Ta2Nb4Co16Si6As,"['Si', 'Co', 'As', 'Nb', 'Ta']",tetragonal,I4/mmm,0.0011,-0.5273,-0.0121,58.36,65,7.15,3.02,True,"['semiconductor', 'quantum', 'superalloy', 'optical', 'defense']"
